source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes
US_FED,Individual Assistance (IA) & Public Assistance (PA) Projections,Individual Assistance (IA) & Public Assistance (PA) Projections,"The purpose of these supervised learning models is two-fold:

1.	For informational purposes: the models will produce predictions for to-be-determined quantities of interest. These quantities are often of interest to Agency personnel in the field, region, and headquarters, as well as DHS, OMB, NSC, and the Whitehouse.
2.	For decisional purposes: in addition to being informative, the models predictions are likely to be used for decision making. This may include implicit use (e.g., seeing that there are a large number of households that require assistance may motivate FEMA CFO to consider requesting additional funding for the Disaster Relief Fund) or explicit use (e.g., the number of estimated housing units required may be used to determine the number of housing units to order just-in-time).

Anticipated benefits of using supervised learning models include:
1.	Increased predictive performance: supervised learning models offer means of quantifying and choosing models with the best possible predictive performance.
2.	Timely prediction: supervised learning models can produce reasonably high performance predictions based on limited data.
3.	Quantification of uncertainty: supervised learning models are able to provide prediction intervals and predictive distributions in addition to point predictions to give users a sense of how uncertainty is inherent in the prediction.
4.	Rigor: supervised learning models are well founded on statistical learning theory and provide a level of mathematical rigor that speaks to the reliability and limitations of methods. ",AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
US_FED,Policy Analyst Assistant,Policy Analyst Assistant,"The Student and Exchange Visitor Program (SEVP) uses AI to help policy analysts quickly find and summarize information about visa rules for students and schools. This saves time and helps analysts respond faster to questions.

This project is intended purpose is to enable SEVP Policy staff to provides responses to policy related inquiries and conduct policy research and analysis: It will be a tool embedded in workflow processes. The processes augmented by the AI includes responses for questions asked by SEVP internal staff and responses given to schools and students by SEVP personnel. For this process, the source of information for the responses will be from authoritative, pre-vetted documents. This reduces the workload on the Policy staff and allows them to focus on more complex policy and guidance issue. For these processes, the AI will assist with researching internal documents and information from regulations, applicable legislation, and other federal guidance. It will assist the policy analyst with summaries, citations, and initial drafts. The benefits includes faster, more consistent responses from Policy and the ability to handle additional work without adding staff. ",AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
US_FED,Conversation Training and Feedback Simulator,Conversation Training and Feedback Simulator,"TSA's Training and Development office is using an off-the-shelf, on-demand, employee learning/training platform which contains commercial training on many topics tailored to each user's interests and skill level to support their personalized training plans and goals. One available component of the platform uses a large language model (LLM) as part of an interactive, dialogue-style training functionality to communicate with and advise the learner to develop critical non-security sensitive soft skills such as customer service and communicating on difficult topics. ",Unknown,Deployer,LLM_Decision_Support,,Other,Auto annotation v0.1 (rule-based)
US_FED,TSA Contact Center Virtual Assistant,TSA Contact Center Virtual Assistant,"The three goals for TSAs virtual assistant are:  1) Improve Ease / Efficiency  deliver timely, accurate responses to customers within / outside of TCC operational hours; 2) Improve Effectiveness  collect new customer insights to help drive agency improvements; 3) Fiscal Responsibility  leverage automation to meet increasing demand without the need for additional resources. ",AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
US_FED,ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,"To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a metadata tag to that document object in ELIS. This way, when a user opens a case with potentially hundreds of pages of evidence documents, rather than scrolling through them one at a time to find a specific document of interest, they have clickable ""bookmarks"" in the UI generated from these tags that will jump directly to the corresponding page. ",AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
US_FED,Automated Change Detection,Automated Change Detection,"As part of the Census Bureau's efforts to maintain and update the Geographic Frame ahead of the 2030 Decennial Census, the Geography Division is using AI to identify changes in the built environment throughout the nation twice a year. With the areas of change we are extracting our own geographic features (roads, building footprints) to support improving coverage across the nation. ",AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
US_FED,Linkage and Matching Program (LaMP),Linkage and Matching Program (LaMP),"This use case involves probabilistic record linkage to link multiple person-level datasets. The predicted links are used for downstream processing to enable research regarding economic, demographic, and other topics and improve quality and efficiency of multiple Census operations. ",Unknown,Deployer,Unknown,,Privacy_Breach,Auto annotation v0.1 (rule-based)
US_FED,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,"The purpose of this AI-driven pipeline is to tackle the challenge of processing non-English, short-text responses in large-scale surveys and censuses, especially brief entries for race and ethnicity. Traditional language detection and translation systems often struggle with these minimal text responses, impacting data accuracy and inclusivity. This AI solution is designed to automate the entire multilingual data processing workflow, from language detection to translation, named entity recognition, and validation, using AI and transformer-based models along with natural language processing techniques. By achieving high accuracy even with limited context, the system reduces the need for human translators, increases processing speed, and guarantees fair and accurate representation of diverse populations. This innovation not only supports the agencys mission to collect inclusive, representative data but also benefits the public by contributing to more precise demographic insights, ultimately aiding in resource allocation and policy making. ",AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
US_FED,FAQ for SMaRT,FAQ for SMaRT,"The purpose of the FAQ search tool is to find the correct Census Bureau-provided answers to common questions from the public about the 2025 Census Test. The 2025 Census Test is a proposed test as part of the Small-Scale Response Test (SmaRT) program in decennial. The purpose of this program is to perform experiments using different methods to improve self-response rates and data collection. The SmaRT program accomplishes this using iterative tests with relatively small sample sizes. Four installments of the SmaRT program were fielded before the 2020 Census. Three small-scale tests have occurred so far this decade with the fourth test planned for 2025. There is an online questionnaire for each of the tests, with a census.gov landing page to access the online questionnaire. In the first three tests this decade, there were approximately 15 FAQs on the landing page that the user could read. For the 2025 Census Test, we would like to offer over 50 FAQs to answer the publics questions via a search tool.
Current public-facing search tools at the Census Bureau use exact match only. Depending on what users type to search, the correct FAQ might not appear because users do not always use the same terminology as the Census Bureau. This FAQ search tool built with machine-learning models will use semantic similarity (i.e., synonyms or misspellings) to find the correct answers. The answers it provides back to the public are census-approved answers, and not generative AI answers. If the 2025 Census Test is approved, this search feature will be on the landing page for the survey. Implementing this search tool is considered a proof-of-concept for the use of such a search feature. If it is successful, the search tool could be used in the 2026 Census Test on its landing page, or the 2028 Dress Rehearsal. Ultimately, if it is successful, the public will benefit by finding answers to common questions more easily and more accurately. ",AnnexIII_4_Employment,Deployer,LLM_Decision_Support,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
US_FED,Enriched Citation,Enriched Citation,"Data dissemination system that identifies which references, or prior art, were cited in specific patent application office actions, including: bibliographic information of the reference, the claims that the prior art was cited against, and the relevant sections that the examiner relied upon. Use of AI to extract summarized information from unstructured text is providing operational cost savings.  ",Unknown,Deployer,Unknown,,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chinese-hackers-use-anthropic-ai-agent-to-attack-foreign-entities Autonomy; Confidentiality; Dual use; Privacy; Security; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/claude-opus-4-blackmails-supervisor-to-prevent-being-shut-down Autonomy/agency; Alignment,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2053,"AI office vending agent incurs losses, runs amok",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ai-office-vending-agent-incurs-losses-runs-amok Accuracy/reliability; Alignment; Autonomy/agency; Mis/disinformation,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report Accuracy/reliability; Mis/disinformation; Transparency,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/christopher-gatlin-facial-recognition-wrongful-arrest Accountability; Accuracy/reliability; Human/civil rights; Privacy/surveillance; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency,AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance,Unknown,Deployer,LLM_Decision_Support,,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination,Unknown,Deployer,Unknown,,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency,Unknown,Deployer,Unknown,,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants Fairness,AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chinese-hackers-use-anthropic-ai-agent-to-attack-foreign-entities Autonomy; Confidentiality; Dual use; Privacy; Security; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/claude-opus-4-blackmails-supervisor-to-prevent-being-shut-down Autonomy/agency; Alignment,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2053,"AI office vending agent incurs losses, runs amok",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ai-office-vending-agent-incurs-losses-runs-amok Accuracy/reliability; Alignment; Autonomy/agency; Mis/disinformation,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance,Unknown,Deployer,LLM_Decision_Support,,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1023,ChatGPT invented case citations in Avianca court case,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chatgpt-invented-case-citations-in-legal-filings Accuracy/reliability; Anthropomorphism; Mis/disinformation,AnnexIII_4_Employment,Deployer,LLM_Decision_Support,Non_Discrimination;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
ECtHR,10012/03,CASE OF HALMAGIU AND BELLU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10108/02,CASE OF TETU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10122/04,CASE OF GURGACH v. RUSSIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10143/07,CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10230/05,CASE OF SERSESCU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10245/02,CASE OF MOSOIU AND PASARIN v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10250/02,CASE OF ALİ TAŞ v. TURKEY,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10319/04,CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10346/03;10893/04,CASE OF DICKMANN AND GION v. ROMANIA,Articles: P1 | Conclusion: Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10368/05,CASE OF MIGALSKA v. POLAND,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10441/06,CASE OF PICHKUR v. UKRAINE,Articles: 14 | Conclusion: Preliminary objection dismissed (Article 35-1 - Six month period);Remainder inadmissible;Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 of Protocol No. 1 - Protection of property;Article 1 para. 1 of Protocol No. 1 - Possessions);Pecuniary and non-pecuniary damage - award,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,1046/12,CASE OF ZAMMIT AND ATTARD CASSAR v. MALTA,Articles: P1 | Conclusion: Remainder inadmissible;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 2 of Protocol No. 1 - Control of the use of property);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10535/09,CASE OF INDERKINY v. RUSSIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 13+6 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10543/02,CASE OF VACARENCU v. MOLDOVA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property;Violation of Article 6 - Right to a fair trial,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10557/03,CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10613/16,CASE OF SHARXHI AND OTHERS v. ALBANIA,Articles: P1 | Conclusion: Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-1) Effective domestic remedy;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6-1 - Access to court;Fair hearing;Article 6 - Administrative proceedings;Right to a fair trial);Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Access to court;Fair hearing);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for home);Violation of Article 13+8 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8-2 - Interference;In accordance with the law;Article 8-1 - Respect for home;Article 8 - Right to respect for private and family life);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Prescribed by law;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,1065/06,CASE OF ELLIS v. TURKEY,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10652/02;12373/06;13553/06;21532/05;23003/06;23446/06;25473/06;28978/06;29693/06;29698/06;29699/06;29704/06;37211/05;6723/06,CASE OF COLLARILE AND OTHERS v. ITALY,Articles: P1 | Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Violation of Article 3 of Protocol No. 1 - Right to free elections-{general} (Article 3 of Protocol No. 1 - Stand for election;Vote);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10699/05,CASE OF PAULIK v. SLOVAKIA,Articles: 14 | Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for private life);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10721/02,CASE OF HARRISON v. THE UNITED KINGDOM,Articles: 14 | Conclusion: Violation of Article 14+P1-1 - Prohibition of discrimination (Article 1 of Protocol No. 1 - Protection of property),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
